id,name,set_number,card_number,ink_color,rarity
87,Megara - Pulling the Strings,1,87,Emerald,Common
88,Mickey Mouse - Artful Rogue,1,88,Emerald,Super Rare
89,Mickey Mouse - Steamboat Pilot,1,89,Emerald,Common
90,Mother Gothel - Selfish Manipulator,1,90,Emerald,Super Rare
91,Peter Pan - Never Landing,1,91,Emerald,Common
92,Tamatoa - Drab Little Crab,1,92,Emerald,Uncommon
93,Tinker Bell - Most Helpful,1,93,Emerald,Common
94,Do It Again!,1,94,Emerald,Rare
95,Mother Knows Best,1,95,Emerald,Uncommon
96,Stampede,1,96,Emerald,Common
97,Steal from the Rich,1,97,Emerald,Rare
98,Sudden Chill,1,98,Emerald,Common
99,The Beast is Mine!,1,99,Emerald,Uncommon
100,Vicious Betrayal,1,100,Emerald,Common
101,Dr. Facilier's Cards,1,101,Emerald,Uncommon
102,Stolen Scimitar,1,102,Emerald,Common
103,Abu - Mischievous Monkey,1,103,Ruby,Common
104,Aladdin - Heroic Outlaw,1,104,Ruby,Super Rare
105,Aladdin - Street Rat,1,105,Ruby,Common
106,Captain - Colonel's Lieutenant,1,106,Ruby,Uncommon
107,Captain Hook - Ruthless Pirate,1,107,Ruby,Rare
108,Donald Duck - Boisterous Fowl,1,108,Ruby,Uncommon
109,Elsa - Ice Surfer,1,109,Ruby,Common
110,Gaston - Arrogant Hunter,1,110,Ruby,Common
111,Goofy - Daredevil,1,111,Ruby,Common
112,LeFou - Instigator,1,112,Ruby,Rare
113,Maleficent - Monstrous Dragon,1,113,Ruby,Legendary
114,Maui - Hero to All,1,114,Ruby,Rare
115,Mickey Mouse - Brave Little Tailor,1,115,Ruby,Legendary
116,Minnie Mouse - Always Classy,1,116,Ruby,Common
117,Moana - Chosen by the Ocean,1,117,Ruby,Uncommon
118,Mulan - Imperial Soldier,1,118,Ruby,Super Rare
119,Peter Pan - Fearless Fighter,1,119,Ruby,Common
120,Pongo - Ol' Rascal,1,120,Ruby,Common
121,Rapunzel - Letting Down Her Hair,1,121,Ruby,Uncommon
122,Scar - Fiery Usurper,1,122,Ruby,Common
123,Scar - Shameless Firebrand,1,123,Ruby,Rare
124,Sergeant Tibbs - Courageous Cat,1,124,Ruby,Common
125,Stitch - Abomination,1,125,Ruby,Rare
126,Te KÄ - The Burning One,1,126,Ruby,Super Rare
127,Tigger - Wonderful Thing,1,127,Ruby,Uncommon
128,Be Prepared,1,128,Ruby,Rare
129,Cut to the Chase,1,129,Ruby,Uncommon
130,Dragon Fire,1,130,Ruby,Uncommon
131,Fan the Flames,1,131,Ruby,Uncommon
132,He's Got a Sword!,1,132,Ruby,Common
133,Tangle,1,133,Ruby,Common
134,Poisoned Apple,1,134,Ruby,Rare
135,Shield of Virtue,1,135,Ruby,Uncommon
136,Sword of Truth,1,136,Ruby,Rare
137,Ariel - Whoseit Collector,1,137,Sapphire,Rare
138,Aurora - Briar Rose,1,138,Sapphire,Common
139,Aurora - Dreaming Guardian,1,139,Sapphire,Super Rare
140,Aurora - Regal Princess,1,140,Sapphire,Uncommon
141,Belle - Inventive Engineer,1,141,Sapphire,Uncommon
142,Belle - Strange but Special,1,142,Sapphire,Legendary
143,Chief Tui - Respected Leader,1,143,Sapphire,Uncommon
144,Donald Duck - Strutting His Stuff,1,144,Sapphire,Common
145,Flounder - Voice of Reason,1,145,Sapphire,Common
146,Gramma Tala - Storyteller,1,146,Sapphire,Uncommon
147,Hades - Infernal Schemer,1,147,Sapphire,Legendary
148,Jasmine - Disguised,1,148,Sapphire,Common
149,Jasmine - Queen of Agrabah,1,149,Sapphire,Rare
150,Maleficent - Sinister Visitor,1,150,Sapphire,Common
151,Maleficent - Uninvited,1,151,Sapphire,Rare
152,Maurice - World-Famous Inventor,1,152,Sapphire,Rare
153,Merlin - Self-Appointed Mentor,1,153,Sapphire,Common
154,Mickey Mouse - Detective,1,154,Sapphire,Common
155,Mufasa - King of the Pride Lands,1,155,Sapphire,Common
156,Philoctetes - Trainer of Heroes,1,156,Sapphire,Common
157,Robin Hood - Unrivaled Archer,1,157,Sapphire,Super Rare
158,Scar - Mastermind,1,158,Sapphire,Rare
159,Tamatoa - So Shiny!,1,159,Sapphire,Super Rare
160,Triton - The Sea King,1,160,Sapphire,Uncommon
161,Develop Your Brain,1,161,Sapphire,Common
162,If it's Not Baroque,1,162,Sapphire,Rare
163,Let it Go,1,163,Sapphire,Rare
164,One Jump Ahead,1,164,Sapphire,Uncommon
165,Work Together,1,165,Sapphire,Common
166,Coconut Basket,1,166,Sapphire,Uncommon
167,Eye of the Fates,1,167,Sapphire,Uncommon
168,Fishbone Quill,1,168,Sapphire,Rare
169,Magic Golden Flower,1,169,Sapphire,Common
170,Scepter of Arendelle,1,170,Sapphire,Uncommon
171,Aladdin - Cornered Swordsman,1,171,Steel,Common
172,Beast - Hardheaded,1,172,Steel,Uncommon
173,Captain Hook - Captain of the Jolly Roger,1,173,Steel,Rare
174,Captain Hook - Forceful Duelist,1,174,Steel,Common
175,Captain Hook - Thinking a Happy Thought,1,175,Steel,Rare
176,Cerberus - Three-Headed Dog,1,176,Steel,Common
177,Donald Duck - Musketeer,1,177,Steel,Uncommon
178,Gantu - Galactic Federation Captain,1,178,Steel,Legendary
179,Goons - Maleficent's Underlings,1,179,Steel,Common
180,Hans - Thirteenth in Line,1,180,Steel,Super Rare
181,Hercules - True Hero,1,181,Steel,Common
182,Kristoff - Official Ice Master,1,182,Steel,Common
183,Kronk - Right-Hand Man,1,183,Steel,Uncommon
184,Lilo - Galactic Hero,1,184,Steel,Uncommon
185,Maui - Demigod,1,185,Steel,Rare
186,Mickey Mouse - Musketeer,1,186,Steel,Rare
187,Prince Eric - Dashing and Brave,1,187,Steel,Common
188,Simba - Future King,1,188,Steel,Common
189,Simba - Returned King,1,189,Steel,Rare
190,Simba - Rightful Heir,1,190,Steel,Uncommon
191,Starkey - Hook's Henchman,1,191,Steel,Uncommon
192,Te KÄ - Heartless,1,192,Steel,Legendary
193,Tinker Bell - Giant Fairy,1,193,Steel,Super Rare
194,Tinker Bell - Tiny Tactician,1,194,Steel,Common
195,A Whole New World,1,195,Steel,Super Rare
196,Break,1,196,Steel,Common
197,Fire the Cannons!,1,197,Steel,Common
198,Grab Your Sword,1,198,Steel,Rare
199,Ransack,1,199,Steel,Uncommon
200,Smash,1,200,Steel,Uncommon
201,Beast's Mirror,1,201,Steel,Common
202,Frying Pan,1,202,Steel,Uncommon
203,Musketeer Tabard,1,203,Steel,Rare
204,Plasma Blaster,1,204,Steel,Rare
205,Hades - King of Olympus,1,205,Amber,Enchanted
206,Stitch - Carefree Surfer,1,206,Amber,Enchanted
207,Elsa - Spirit of Winter,1,207,Amethyst,Enchanted
208,Mickey Mouse - Wayward Sorcerer,1,208,Amethyst,Enchanted
209,Genie - On the Job,1,209,Emerald,Enchanted
210,Mickey Mouse - Artful Rogue,1,210,Emerald,Enchanted
211,Aladdin - Heroic Outlaw,1,211,Ruby,Enchanted
212,Maui - Hero to All,1,212,Ruby,Enchanted
213,Aurora - Dreaming Guardian,1,213,Sapphire,Enchanted
214,Belle - Strange but Special,1,214,Sapphire,Enchanted
215,Simba - Returned King,1,215,Steel,Enchanted
216,Tinker Bell - Giant Fairy,1,216,Steel,Enchanted
217,Bashful - Hopeless Romantic,2,1,Amber,Uncommon
218,Christopher Robin - Adventurer,2,2,Amber,Rare
219,Cinderella - Ballroom Sensation,2,3,Amber,Rare
220,Cobra Bubbles - Just a Social Worker,2,4,Amber,Rare
221,Doc - Leader of the Seven Dwarfs,2,5,Amber,Uncommon
222,Dopey - Always Playful,2,6,Amber,Uncommon
223,Eudora - Accomplished Seamstress,2,7,Amber,Common
224,Gaston - Baritone Bully,2,8,Amber,Uncommon
225,Grand Duke - Advisor to the King,2,9,Amber,Rare
226,Grumpy - Bad-Tempered,2,10,Amber,Common
227,Happy - Good-Natured,2,11,Amber,Common
228,King Louie - Jungle VIP,2,12,Amber,Super Rare
229,Mickey Mouse - Friendly Face,2,13,Amber,Super Rare
230,Mufasa - Betrayed Leader,2,14,Amber,Legendary
231,Mulan - Free Spirit,2,15,Amber,Common
232,Mulan - Reflecting,2,16,Amber,Rare
233,Nana - Darling Family Pet,2,17,Amber,Uncommon
234,Piglet - Very Small Animal,2,18,Amber,Common
235,Rapunzel - Gifted Artist,2,19,Amber,Uncommon
236,Rapunzel - Sunshine,2,20,Amber,Common
237,Sleepy - Nodding Off,2,21,Amber,Common
238,Sneezy - Very Allergic,2,22,Amber,Common
239,Snow White - Lost in the Forest,2,23,Amber,Common
240,Snow White - Unexpected Houseguest,2,24,Amber,Uncommon
241,Snow White - Well Wisher,2,25,Amber,Legendary
242,The Queen - Commanding Presence,2,26,Amber,Super Rare
243,The Queen - Regal Monarch,2,27,Amber,Common
244,Hold Still,2,28,Amber,Common
245,Last Stand,2,29,Amber,Uncommon
246,Painting the Roses Red,2,30,Amber,Common
247,World's Greatest Criminal Mind,2,31,Amber,Rare
248,Zero to Hero,2,32,Amber,Uncommon
249,Dragon Gem,2,33,Amber,Rare
250,Sleepy's Flute,2,34,Amber,Rare
251,Arthur - Wizard's Apprentice,2,35,Amethyst,Super Rare
252,Blue Fairy - Rewarding Good Deeds,2,36,Amethyst,Uncommon
253,Chip the Teacup - Gentle Soul,2,37,Amethyst,Common
254,Dr. Facilier - Savvy Opportunist,2,38,Amethyst,Common
255,Elsa - Gloves Off,2,39,Amethyst,Common
256,Fairy Godmother - Here to Help,2,40,Amethyst,Uncommon
257,Fairy Godmother - Mystic Armorer,2,41,Amethyst,Legendary
258,Fairy Godmother - Pure Heart,2,42,Amethyst,Common
259,HeiHei - Persistent Presence,2,43,Amethyst,Uncommon
260,Jiminy Cricket - Pinocchio's Conscience,2,44,Amethyst,Common
261,Kuzco - Wanted Llama,2,45,Amethyst,Common
262,Madam Mim - Fox,2,46,Amethyst,Rare
263,Madam Mim - Purple Dragon,2,47,Amethyst,Legendary
264,Madam Mim - Rival of Merlin,2,48,Amethyst,Rare
265,Madam Mim - Snake,2,49,Amethyst,Uncommon
266,Merlin - Crab,2,50,Amethyst,Common
267,Merlin - Goat,2,51,Amethyst,Uncommon
268,Merlin - Rabbit,2,52,Amethyst,Rare
269,Merlin - Shapeshifter,2,53,Amethyst,Rare
270,Merlin - Squirrel,2,54,Amethyst,Common
271,Peter Pan's Shadow - Not Sewn On,2,55,Amethyst,Super Rare
272,Pinocchio - Star Attraction,2,56,Amethyst,Rare
273,Pinocchio - On the Run,2,57,Amethyst,Uncommon
274,Pinocchio - Talkative Puppet,2,58,Amethyst,Uncommon
275,Winnie the Pooh - Hunny Wizard,2,59,Amethyst,Common
276,Yzma - Scary Beyond All Reason,2,60,Amethyst,Super Rare
277,Yzma - Without Beauty Sleep,2,61,Amethyst,Uncommon
278,Gruesome and Grim,2,62,Amethyst,Rare
279,I'm Stuck!,2,63,Amethyst,Common
280,Legend of the Sword in the Stone,2,64,Amethyst,Common
281,Binding Contract,2,65,Amethyst,Uncommon
282,Croquet Mallet,2,66,Amethyst,Common
283,Perplexing Signposts,2,67,Amethyst,Rare
284,The Sorcerer's Spellbook,2,68,Amethyst,Rare
285,Arthur - Trained Swordsman,2,69,Emerald,Common
286,Beast - Relentless,2,70,Emerald,Legendary
287,Belle - Bookworm,2,71,Emerald,Uncommon
288,Belle - Hidden Archer,2,72,Emerald,Legendary
289,Bucky - Squirrel Squeak Tutor,2,73,Emerald,Uncommon
290,Cheshire Cat - Always Grinning,2,74,Emerald,Uncommon
291,Cheshire Cat - From the Shadows,2,75,Emerald,Super Rare
292,Daisy Duck - Secret Agent,2,76,Emerald,Uncommon
293,Donald Duck - Perfect Gentleman,2,77,Emerald,Uncommon
294,Donald Duck - Sleepwalker,2,78,Emerald,Common
295,Dr. Facilier - Fortune Teller,2,79,Emerald,Super Rare
296,Enchantress - Unexpected Judge,2,80,Emerald,Common
297,Flynn Rider - Confident Vagabond,2,81,Emerald,Common
298,Flynn Rider - His Own Biggest Fan,2,82,Emerald,Rare
299,Gaston - Scheming Suitor,2,83,Emerald,Common
300,Little John - Loyal Friend,2,84,Emerald,Rare
301,Lucifer - Cunning Cat,2,85,Emerald,Rare
302,Pain - Underworld Imp,2,86,Emerald,Uncommon
303,Panic - Underworld Imp,2,87,Emerald,Common
304,Pete - Bad Guy,2,88,Emerald,Rare
305,Prince John - Greediest of All,2,89,Emerald,Rare
306,Queen of Hearts - Quick-Tempered,2,90,Emerald,Common
307,Ratigan - Criminal Mastermind,2,91,Emerald,Common
308,Ray - Easygoing Firefly,2,92,Emerald,Common
309,The Queen - Disguised Peddler,2,93,Emerald,Super Rare
310,Tiana - True Princess,2,94,Emerald,Uncommon
311,Virana - Fang Chief,2,95,Emerald,Common
312,Bibbidi Bobbidi Boo,2,96,Emerald,Rare
313,Bounce,2,97,Emerald,Uncommon
314,Hypnotize,2,98,Emerald,Common
315,Improvise,2,99,Emerald,Common
316,Pack Tactics,2,100,Emerald,Rare
317,Ring the Bell,2,101,Emerald,Uncommon
318,Ratigan's Marvelous Trap,2,102,Emerald,Rare
319,Baloo - Fun-Loving Bear,2,103,Ruby,Common
320,Boun - Precocious Entrepreneur,2,104,Ruby,Common
321,Card Soldiers - Full Deck,2,105,Ruby,Uncommon
322,Donald Duck - Not Again!,2,106,Ruby,Legendary
323,Felicia - Always Hungry,2,107,Ruby,Common
324,Fidget - Ratigan's Henchman,2,108,Ruby,Common
325,Honest John - Not That Honest,2,109,Ruby,Rare
326,Lady Tremaine - Imperious Queen,2,110,Ruby,Super Rare
327,Lady Tremaine - Overbearing Matriarch,2,111,Ruby,Common
328,Lumiere - Hotheaded Candelabra,2,112,Ruby,Rare
329,Minnie Mouse - Stylish Surfer,2,113,Ruby,Uncommon
330,Minnie Mouse - Wide-Eyed Diver,2,114,Ruby,Rare
331,Minnie Mouse - Zipping Around,2,115,Ruby,Common
332,Mother Gothel - Withered and Wicked,2,116,Ruby,Uncommon
333,Mulan - Soldier in Training,2,117,Ruby,Common
334,Namaari - Nemesis,2,118,Ruby,Super Rare
335,Queen of Hearts - Impulsive Ruler,2,119,Ruby,Uncommon
336,Queen of Hearts - Sensing Weakness,2,120,Ruby,Uncommon
337,Ratigan - Very Large Mouse,2,121,Ruby,Rare
338,Raya - Headstrong,2,122,Ruby,Common
339,Raya - Leader of Heart,2,123,Ruby,Super Rare
340,Raya - Warrior of Kumandra,2,124,Ruby,Uncommon
341,Scar - Vicious Cheater,2,125,Ruby,Legendary
342,Shere Khan - Menacing Predator,2,126,Ruby,Rare
343,Tigger - One of a Kind,2,127,Ruby,Common
344,Tuk Tuk - Wrecking Ball,2,128,Ruby,Rare
345,Go the Distance,2,129,Ruby,Common
346,Teeth and Ambitions,2,130,Ruby,Rare
347,The Most Diabolical Scheme,2,131,Ruby,Uncommon
348,What Did You Call Me?,2,132,Ruby,Common
349,You Can Fly!,2,133,Ruby,Uncommon
350,Dinner Bell,2,134,Ruby,Rare
351,Peter Pan's Dagger,2,135,Ruby,Common
352,Sword in the Stone,2,136,Ruby,Uncommon
353,Alice - Growing Girl,2,137,Sapphire,Legendary
354,Basil - Great Mouse Detective,2,138,Sapphire,Super Rare
355,Basil - Of Baker Street,2,139,Sapphire,Common
356,Basil - Perceptive Investigator,2,140,Sapphire,Common
357,Caterpillar - Calm and Collected,2,141,Sapphire,Uncommon
358,Cogsworth - Grandfather Clock,2,142,Sapphire,Super Rare
359,Cogsworth - Talking Clock,2,143,Sapphire,Uncommon
360,Cruella De Vil - Fashionable Cruiser,2,144,Sapphire,Common
361,Cruella De Vil - Perfectly Wretched,2,145,Sapphire,Uncommon
362,Duke Weaselton - Small-Time Crook,2,146,Sapphire,Common
363,Gaston - Intellectual Powerhouse,2,147,Sapphire,Rare
364,Grand Pabbie - Oldest and Wisest,2,148,Sapphire,Super Rare
365,Hiram Flaversham - Toymaker,2,149,Sapphire,Rare
366,James - Role Model,2,150,Sapphire,Common
367,Jasmine - Heir of Agrabah,2,151,Sapphire,Common
368,Judy Hopps - Optimistic Officer,2,152,Sapphire,Uncommon
369,Mrs. Judson - Housekeeper,2,153,Sapphire,Rare
370,Nick Wilde - Wily Fox,2,154,Sapphire,Uncommon
371,Noi - Orphaned Thief,2,155,Sapphire,Rare
372,Owl - Logical Lecturer,2,156,Sapphire,Common
373,Prince Charming - Heir to the Throne,2,157,Sapphire,Rare
374,Rabbit - Reluctant Host,2,158,Sapphire,Common
375,Sisu - Divine Water Dragon,2,159,Sapphire,Legendary
376,The Nokk - Water Spirit,2,160,Sapphire,Common
377,Winnie the Pooh - Having a Think,2,161,Sapphire,Rare
378,Falling Down the Rabbit Hole,2,162,Sapphire,Rare
379,Four Dozen Eggs,2,163,Sapphire,Uncommon
380,Launch,2,164,Sapphire,Uncommon
381,Nothing to Hide,2,165,Sapphire,Common
382,Fang Crossbow,2,166,Sapphire,Uncommon
383,Gumbo Pot,2,167,Sapphire,Common
384,Maurice's Workshop,2,168,Sapphire,Rare
385,Pawpsicle,2,169,Sapphire,Common
386,Sardine Can,2,170,Sapphire,Uncommon
387,Beast - Forbidding Recluse,2,171,Steel,Common
388,Beast - Selfless Protector,2,172,Steel,Super Rare
389,Beast - Tragic Hero,2,173,Steel,Legendary
390,Benja - Guardian of the Dragon Gem,2,174,Steel,Common
391,Chief Bogo - Respected Officer,2,175,Steel,Rare
392,Cinderella - Knight in Training,2,176,Steel,Common
393,Cinderella - Stouthearted,2,177,Steel,Super Rare
394,Donald Duck - Deep-Sea Diver,2,178,Steel,Common
395,Eli La Bouff - Big Daddy,2,179,Steel,Uncommon
396,Goofy - Knight for a Day,2,180,Steel,Rare
397,Hercules - Divine Hero,2,181,Steel,Rare
398,Hercules - Hero in Training,2,182,Steel,Common
399,Jafar - Dreadnought,2,183,Steel,Uncommon
400,Jafar - Royal Vizier,2,184,Steel,Common
401,Kronk - Junior Chipmunk,2,185,Steel,Rare
402,Lawrence - Jealous Manservant,2,186,Steel,Uncommon
403,Li Shang - Archery Instructor,2,187,Steel,Uncommon
404,Magic Broom - Industrial Model,2,188,Steel,Common
405,Namaari - Morning Mist,2,189,Steel,Legendary
406,Pacha - Village Leader,2,190,Steel,Uncommon
407,Prince Naveen - Penniless Royal,2,191,Steel,Common
408,Queen of Hearts - Capricious Monarch,2,192,Steel,Rare
409,Robin Hood - Capable Fighter,2,193,Steel,Uncommon
410,The Huntsman - Reluctant Enforcer,2,194,Steel,Rare
411,The Prince - Never Gives Up,2,195,Steel,Uncommon
412,Tiana - Celebrating Princess,2,196,Steel,Super Rare
413,Tiana - Diligent Waitress,2,197,Steel,Common
414,Charge!,2,198,Steel,Common
415,Let the Storm Rage On,2,199,Steel,Common
416,Pick a Fight,2,200,Steel,Uncommon
417,Strength of a Raging Fire,2,201,Steel,Rare
418,Last Cannon,2,202,Steel,Common
419,Mouse Armor,2,203,Steel,Uncommon
420,Weight Set,2,204,Steel,Rare
421,Cinderella - Ballroom Sensation,2,205,Amber,Enchanted
422,Snow White - Well Wisher,2,206,Amber,Enchanted
423,Arthur - Wizard's Apprentice,2,207,Amethyst,Enchanted
424,Madam Mim - Purple Dragon,2,208,Amethyst,Enchanted
425,Pete - Bad Guy,2,209,Emerald,Enchanted
426,Beast - Relentless,2,210,Emerald,Enchanted
427,Lady Tremaine - Imperious Queen,2,211,Ruby,Enchanted
428,Shere Khan - Menacing Predator,2,212,Ruby,Enchanted
429,Alice - Growing Girl,2,213,Sapphire,Enchanted
430,Sisu - Divine Water Dragon,2,214,Sapphire,Enchanted
431,Hercules - Divine Hero,2,215,Steel,Enchanted
432,Namaari - Morning Mist,2,216,Steel,Enchanted
433,Baloo - von Bruinwald XIII,3,1,Amber,Rare
434,Bernard - Brand-New Agent,3,2,Amber,Rare
435,Chernabog - Evildoer,3,3,Amber,Super Rare
436,Dalmatian Puppy - Tail Wagger,3,4a,Amber,Common
437,Dalmatian Puppy - Tail Wagger,3,4b,Amber,Common
438,Dalmatian Puppy - Tail Wagger,3,4c,Amber,Common
439,Dalmatian Puppy - Tail Wagger,3,4d,Amber,Common
440,Dalmatian Puppy - Tail Wagger,3,4e,Amber,Common
441,Joshua Sweet - The Doctor,3,5,Amber,Common
442,Kida - Atlantean,3,6,Amber,Common
443,Kida - Protector of Atlantis,3,7,Amber,Legendary
444,Lucky - The 15th Puppy,3,8,Amber,Rare
445,Minnie Mouse - Musical Artist,3,9,Amber,Rare
446,Miss Bianca - Rescue Aid Society Agent,3,10,Amber,Common
447,Mr. Snoops - Inept Businessman,3,11,Amber,Common
448,Nani - Protective Sister,3,12,Amber,Uncommon
449,Orville - Ace Pilot,3,13,Amber,Common
450,Patch - Intimidating Pup,3,14,Amber,Common
451,Perdita - Devoted Mother,3,15,Amber,Legendary
452,Piglet - Pooh Pirate Captain,3,16,Amber,Super Rare
453,Pluto - Determined Defender,3,17,Amber,Rare
454,Pluto - Friendly Pooch,3,18,Amber,Uncommon
455,Pongo - Determined Father,3,19,Amber,Super Rare
456,Queen of Hearts - Wonderland Empress,3,20,Amber,Uncommon
457,Rolly - Hungry Pup,3,21,Amber,Uncommon
458,Tinker Bell - Generous Fairy,3,22,Amber,Uncommon
459,Wendy Darling - Talented Sailor,3,23,Amber,Uncommon
460,99 Puppies,3,24,Amber,Uncommon
461,Boss's Orders,3,25,Amber,Common
462,Heal What Has Been Hurt,3,26,Amber,Common
463,Quick Patch,3,27,Amber,Common
464,The Bare Necessities,3,28,Amber,Rare
465,Cleansing Rainwater,3,29,Amber,Common
466,Heart of Atlantis,3,30,Amber,Rare
467,Wildcat's Wrench,3,31,Amber,Uncommon
468,Never Land - Mermaid Lagoon,3,32,Amber,Common
469,Pride Lands - Pride Rock,3,33,Amber,Rare
470,Tiana's Palace - Jazz Restaurant,3,34,Amber,Uncommon
471,Alice - Tea Alchemist,3,35,Amethyst,Super Rare
472,Chernabog's Followers - Creatures of Evil,3,36,Amethyst,Uncommon
473,Diablo - Faithful Pet,3,37,Amethyst,Common
474,Genie - Supportive Friend,3,38,Amethyst,Super Rare
475,Hydros - Ice Titan,3,39,Amethyst,Uncommon
476,Iago - Pretty Polly,3,40,Amethyst,Common
477,Jafar - Lamp Thief,3,41,Amethyst,Uncommon
478,Jafar - Striking Illusionist,3,42,Amethyst,Legendary
479,Lena Sabrewing - Rebellious Teenager,3,43,Amethyst,Common
480,Magic Broom - Dancing Duster,3,44,Amethyst,Uncommon
481,Magic Broom - Swift Cleaner,3,45,Amethyst,Common
482,Magic Broom - The Big Sweeper,3,46,Amethyst,Common
483,Magic Carpet - Flying Rug,3,47,Amethyst,Common
484,Magica De Spell - Ambitious Witch,3,48,Amethyst,Common
485,Magica De Spell - The Midas Touch,3,49,Amethyst,Super Rare
486,Magica De Spell - Thieving Sorceress,3,50,Amethyst,Uncommon
487,Maleficent - Mistress of All Evil,3,51,Amethyst,Legendary
